URL,company_name,headquarters,industry,total_rating,highest_score_name,highest_score_point,course_name,duration,start_date,entry_deadline,catch_phrase
/2026/company/r189322012/internship/,株式会社関西金属工業所,大阪,金属製品／鉄鋼／非鉄金属,N/A,N/A,N/A,【先着順・選考なし】WEB説明会コース,1日,10月随時、11月随時、12月随時、1月随時(WEB),1月23日,【先着順・選考なし】WEB説明会コース。先輩社員の生の声も聞けます！
/2026/company/r616220053/internship/,ホクシン株式会社,大阪,建材・エクステリア／住宅／プラント・エンジニアリング／半導体・電子部品・その他／その他製造,N/A,N/A,N/A,会社説明会,1日,10月随時、11月随時(大阪),11月30日,【技術系学生必見！】素材メーカーの技術系の仕事って？【1dayで学ぶ『MDF』】
/2026/company/r833552025/internship/,株式会社クォーレ,広島,教育関連／福祉・介護／その他サービス,N/A,N/A,N/A,先着順・選考無し【リアルを知る対面コース】,1日,10月随時、11月随時、12月随時、1月随時(広島),1月24日,子どもの療育体験・発達支援・児童指導員のお仕事理解＆体験！
/2026/company/r211692034/internship/,株式会社OGISHI,埼玉,建設／設備・設備工事関連／建材・エクステリア,N/A,N/A,N/A,【OGISHIを知る！】オープン・カンパニー,1日,10/26(埼玉),10月25日,★　納得！鳶（とび）職の魅力を深堀り ◆ 「働く」を考える！　★
/2026/company/r425572071/internship/,株式会社エクス・アドメディア,埼玉,その他サービス,N/A,N/A,N/A,座談会セミナー～各課紹介　製作課 3 ～,1日,12月随時(WEB),12月20日,☆★　イベント業界　WEBセミナー開催　★☆
/2026/company/r866392083/internship/,株式会社IMIC,東京,コンサルタント・専門コンサルタント／不動産／建設／商社（建材・エクステリア）／各種ビジネスサービス,N/A,N/A,N/A,【WEB開催】日本の産業を支える事業が分かる1日,1日,10月随時、11月随時、12月随時、1月随時(WEB),1月24日,社会を支える検査分析の魅力を深堀り ◆ 「働く」を考える！1dayプログラム
/2026/company/r469010024/internship/,ＪＲＤ株式会社,東京,不動産／コンサルタント・専門コンサルタント／建設コンサルタント／外食・レストラン・フードサービス／建築設計,N/A,N/A,N/A,不動産の営業を知れる/1day仕事体験,1日,10月随時、11月随時、12月随時、1月随時(東京)、10月随時、11月随時、12月随時、1月随時(WEB),1月15日,不動産の営業を知れる/1day仕事体験
/2026/company/r376330024/internship/,社会福祉法人信々会,広島,福祉・介護／医療関連・医療機関／スポーツ・フィットネス・ヘルス関連施設,N/A,N/A,N/A,◆コース２◆【WEB開催】経営視点を学ぶ。専門職体験,1日,10月随時、11月随時、12月随時、1月随時、2月随時(WEB),1月20日,【選べる５コース】介護の裏側まで学べる！福祉の仕事理解！
/2026/company/r840700012/internship/,ヤマザキマザック株式会社,愛知,機械／重電・産業用電気機器／精密機器,N/A,N/A,N/A,【文理対象】工作機械見本市でのブース見学会,1日,11/5、11/6、11/7、11/8、11/9、11/10(東京),10月31日,工作機械メーカーの仕事を体感できます！
/2026/company/r507582020/internship/,株式会社ココト,東京,情報処理／ソフトウェア／インターネット関連,N/A,N/A,N/A,先着順・選考なし　適性検査からわかる自己分析,1日,10/24、11/8、11/20(東京),11月18日,【対面】みんなで一緒に自己分析！適性検査受験・座談会あり◎
/2026/company/r236142028/internship/,さが美グループホールディングス株式会社,神奈川,専門店（服飾雑貨・繊維製品・貴金属）／その他専門店・小売／アパレル・服飾・雑貨・皮革製品／商社（アパレル・服飾雑貨・貴金属）／百貨店,N/A,N/A,N/A,先着順・選考なし【企画立案型ワークショップ】,1日,10月随時、11月随時、12月随時、1月随時、2月随時(WEB),1月31日,【WEB】きものの未来を考える！企業説明+企画戦略体感セミナー
/2026/company/r416452048/internship/,新潟県厚生農業協同組合連合会,新潟,医療関連・医療機関／福祉・介護／団体・連合会,N/A,N/A,N/A,【WEB仕事体験第1弾】診療報酬の計算体験コース,1日,10月随時、11月随時、12月随時、1月随時(WEB),1月24日,【WEB仕事体験】医療機関の事務職の仕事を体験！
/2026/company/r877430057/internship/,ＳＧホールディングス,京都,陸運（貨物）／倉庫／コンサルタント・専門コンサルタント／情報処理／不動産,4.62,事業内容の理解,4.70,入門編：物流業界＆SGホールディングスお手軽セミナー,1日,10月随時(WEB),10月31日,～実はすごい！物流業界がわかる～SGホールディングス仕事体験
/2026/company/r765102079/internship/,アビリオ債権回収株式会社,東京,その他金融,N/A,N/A,N/A,【1DAY仕事体験】サービサーや当社について知ろう！,1日,1/9、1/10(WEB),1月5日,【SMBCグループ】◆サービサー業界のリーディングカンパニー◆サービサーの魅力！
/2026/company/r143110042/internship/,東京ガスリビングライン株式会社,東京,ガス／エネルギー／設備・設備工事関連／その他専門店・小売／安全・セキュリティ産業,4.02,業界の理解,4.55,業務内容深掘りセミナー【選考なし】,1日,1月随時(WEB),12月31日,■エントリー・予約受付中■ 東京ガスの完全子会社 ＜WEB開催＞
